,NAME,DP03_0063E,state,place
0,"Avondale city, Arizona",85262,04,04720
1,"Buckeye city, Arizona",105787,04,07940
2,"Casas Adobes CDP, Arizona",101259,04,10670
3,"Chandler city, Arizona",130587,04,12000
4,"Flagstaff city, Arizona",83642,04,23620
5,"Gilbert town, Arizona",138747,04,27400
6,"Glendale city, Arizona",88479,04,27820
7,"Goodyear city, Arizona",118445,04,28380
8,"Maricopa city, Arizona",101415,04,44410
9,"Mesa city, Arizona",101410,04,46000
10,"Peoria city, Arizona",111308,04,54050
11,"Phoenix city, Arizona",103239,04,55000
12,"Queen Creek town, Arizona",151894,04,58150
13,"San Tan Valley CDP, Arizona",114167,04,64210
14,"Scottsdale city, Arizona",164377,04,65000
15,"Surprise city, Arizona",110479,04,71510
16,"Tempe city, Arizona",97835,04,73000
17,"Tucson city, Arizona",71511,04,77000
18,"Yuma city, Arizona",80468,04,85540
19,"Conway city, Arkansas",75365,05,15190
20,"Little Rock city, Arkansas",92591,05,41000
21,"Auburn city, Alabama",85960,01,03076
22,"Birmingham city, Alabama",62712,01,07000
23,"Dothan city, Alabama",80681,01,21184
24,"Hoover city, Alabama",134297,01,35896
25,"Huntsville city, Alabama",104769,01,37000
26,"Mobile city, Alabama",73757,01,50000
27,"Montgomery city, Alabama",72589,01,51000
28,"Tuscaloosa city, Alabama",84423,01,77256
29,"Anchorage municipality, Alaska",125267,02,03000
30,"Fayetteville city, Arkansas",76460,05,23290
31,"Fort Smith city, Arkansas",73005,05,24550
32,"Jonesboro city, Arkansas",88501,05,35710
33,"Antioch city, California",122963,06,02252
34,"Rogers city, Arkansas",110849,05,60410
35,"Springdale city, Arkansas",79233,05,66080
36,"Alameda city, California",165439,06,00562
37,"Alhambra city, California",105314,06,00884
38,"Anaheim city, California",107932,06,02000
39,"Apple Valley town, California",80863,06,02364
40,"Arden-Arcade CDP, California",104812,06,02553
41,"Bakersfield city, California",99779,06,03526
42,"Baldwin Park city, California",82707,06,03666
43,"Buena Park city, California",125201,06,08786
44,"Bellflower city, California",84261,06,04982
45,"Berkeley city, California",166517,06,06000
46,"Brentwood city, California",167553,06,08142
47,"Burbank city, California",121877,06,08954
48,"Camarillo city, California",150625,06,10046
49,"Carlsbad city, California",182827,06,11194
50,"Carmichael CDP, California",117004,06,11390
51,"Carson city, California",121705,06,11530
52,"Castro Valley CDP, California",168870,06,11964
53,"Chula Vista city, California",116658,06,13392
54,"Chico city, California",90870,06,13014
55,"Chino city, California",108477,06,13210
56,"Chino Hills city, California",135389,06,13214
57,"Citrus Heights city, California",86921,06,13588
58,"Clovis city, California",126004,06,14218
59,"Compton city, California",81622,06,15044
60,"Concord city, California",128740,06,16000
61,"Corona city, California",121558,06,16350
62,"Costa Mesa city, California",145691,06,16532
63,"Daly City city, California",137157,06,17918
64,"Davis city, California",114620,06,18100
65,"Downey city, California",105790,06,19766
66,"Dublin city, California",235277,06,20018
67,"East Los Angeles CDP, California",78476,06,20802
68,"Eastvale city, California",162160,06,21230
69,"El Cajon city, California",83371,06,21712
70,"Elk Grove city, California",134995,06,22020
71,"El Monte city, California",78457,06,22230
72,"Escondido city, California",113742,06,22804
73,"Fairfield city, California",130037,06,23182
74,"Folsom city, California",158077,06,24638
75,"Fontana city, California",113047,06,24680
76,"Fremont city, California",210097,06,26000
77,"Fresno city, California",88610,06,27000
78,"Fullerton city, California",133585,06,28000
79,"Garden Grove city, California",112954,06,29000
80,"Glendale city, California",108976,06,30000
81,"Hawthorne city, California",98000,06,32548
82,"Hayward city, California",127751,06,33000
83,"Hemet city, California",71880,06,33182
84,"Hesperia city, California",84291,06,33434
85,"Irvine city, California",165350,06,36770
86,"Huntington Beach city, California",154152,06,36000
87,"Indio city, California",98470,06,36448
88,"Inglewood city, California",84630,06,36546
89,"Jurupa Valley city, California",111379,06,37692
90,"Lake Elsinore city, California",109442,06,39486
91,"Lake Forest city, California",162163,06,39496
92,"Lakewood city, California",138458,06,39892
93,"Lancaster city, California",94003,06,40130
94,"Livermore city, California",182631,06,41992
95,"Lodi city, California",105297,06,42202
